postgres	PUBLIC	car_shop_db	pg_catalog	pg_type	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	user_mapping_options	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mapping_options	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	user_mappings	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	user_mappings	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	triggered_update_columns	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	triggered_update_columns	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	triggers	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	triggers	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	triggers	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	usage_privileges	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	usage_privileges	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_column_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_column_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_routine_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_routine_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	view_table_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	view_table_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	views	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	views	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	views	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	views	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	views	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	views	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	data_type_privileges	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	data_type_privileges	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	element_types	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	element_types	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	element_types	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_data_wrapper_options	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrapper_options	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_data_wrappers	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_data_wrappers	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_server_options	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_server_options	TRIGGER	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	SELECT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	INSERT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	UPDATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	DELETE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	REFERENCES	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_statistic	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	foreign_servers	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	foreign_servers	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sequences	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sequences	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sequences	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_features	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_features	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_features	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_implementation_info	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_implementation_info	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_languages	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_languages	TRIGGER	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	SELECT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	INSERT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	UPDATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	DELETE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	REFERENCES	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_authid	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_packages	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_packages	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_database	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_roles	SELECT	NO	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	SELECT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	INSERT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	UPDATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	DELETE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	REFERENCES	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_shadow	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_sizing	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_group	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_user	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_rules	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	sql_sizing_profiles	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	sql_sizing_profiles	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_views	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_indexes	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	table_constraints	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	table_constraints	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stats	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	table_privileges	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	table_privileges	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_locks	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	tables	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	tables	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_cursors	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	constraint_table_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_prepared_xacts	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	domain_constraints	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_prepared_statements	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	domain_udt_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	TRUNCATE	YES	NO
